Date,Open,High,Low,Close,Adj Close,Volume,ticker,sector,GDP,T10YIE,VIXCLS,returns,log_returns,volume_ratio,return_1d,direction_1d,return_5d,volatility_regime,gdp_growth,economic_regime,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,SMA_short,SMA_long,OBV
2015-01-02,17823.0703125,17951.779296875,17731.30078125,17832.990234375,17832.990234375,76270000,^DJI,Index,18063.529,1.71,17.79,,,,-0.018580161789765737,0,-0.005362033651859499,Medium,,1.0,,,,,,,,,,76270000.0
2015-01-05,17821.30078125,17821.30078125,17475.9296875,17501.650390625,17501.650390625,116160000,^DJI,Index,18063.529,1.64,19.92,-0.018580161789765737,-0.01875494133639084,,-0.007428428903747397,0,0.007952933010223928,Medium,0.0,1.0,,,,,,,,,,-39890000.0
2015-01-06,17504.1796875,17581.05078125,17262.369140625,17371.640625,17371.640625,101870000,^DJI,Index,18063.529,1.56,21.12,-0.007428428903747397,-0.007456157084961339,,0.01225439271082096,1,0.013932999635720922,Medium,0.0,1.0,,,,,,,,,,-141760000.0
2015-01-07,17374.779296875,17597.080078125,17374.779296875,17584.51953125,17584.51953125,91030000,^DJI,Index,18063.529,1.57,19.31,0.01225439271082096,0.012179915472034949,,0.018388310741181524,1,-0.008952743190976942,Medium,0.0,1.0,,,,,,,,,,-50730000.0
2015-01-08,17591.970703125,17916.0390625,17591.970703125,17907.869140625,17907.869140625,114890000,^DJI,Index,18063.529,1.62,17.01,0.018388310741181524,0.018221290132717203,,-0.009520954093483525,0,-0.03278772022032472,Medium,0.0,1.0,,,,,,,,,,64160000.0
2015-01-09,17911.01953125,17915.3203125,17686.08984375,17737.369140625,17737.369140625,93390000,^DJI,Index,18063.529,1.62,17.55,-0.009520954093483525,-0.00956656813391939,,-0.005442142862884469,0,-0.01273011946331093,Medium,0.0,1.0,,,,,,,,,,-29230000.0
2015-01-12,17742.05078125,17793.880859375,17571.580078125,17640.83984375,17640.83984375,92500000,^DJI,Index,18063.529,1.57,19.6,-0.005442142862884469,-0.005457005269105385,,-0.0015396180958823225,0,-0.0071203738661287375,Medium,0.0,1.0,,,,,,,,,,-121730000.0
2015-01-13,17645.01953125,17923.009765625,17498.23046875,17613.6796875,17613.6796875,99360000,^DJI,Index,18063.529,1.54,20.56,-0.0015396180958823225,-0.0015408045257452004,,-0.010593461846726937,0,-0.0033724009791750165,Medium,0.0,1.0,,,,,,,,,,-221090000.0
2015-01-14,17609.060546875,17609.060546875,17264.900390625,17427.08984375,17427.08984375,109180000,^DJI,Index,18063.529,1.57,21.48,-0.010593461846726937,-0.01064997201016776,,-0.006104226649646383,0,0.022200529662085522,Medium,0.0,1.0,,,,,,,,,,-330270000.0
2015-01-15,17436.30078125,17517.41015625,17298.0390625,17320.7109375,17320.7109375,94520000,^DJI,Index,18063.529,1.58,22.39,-0.006104226649646383,-0.006122933607667587,,0.0110191420946113,1,0.020316063996723477,Medium,0.0,1.0,,,,,,,,,,-424790000.0
2015-01-16,17320.0,17528.369140625,17243.55078125,17511.5703125,17511.5703125,140480000,^DJI,Index,18063.529,1.6,20.95,0.0110191420946113,0.010958873681654914,,0.000209013594137053,1,0.009543913153847727,Medium,0.0,1.0,,,,,,,,,,-284310000.0
2015-01-20,17516.9609375,17588.69921875,17346.73046875,17515.23046875,17515.23046875,119600000,^DJI,Index,18063.529,1.59,19.89,0.000209013594137053,0.00020899175383901243,,0.0022294213139055774,1,-0.007309040636285569,Medium,0.0,1.0,,,,,,,,,,-164710000.0
2015-01-21,17509.9609375,17599.580078125,17396.0390625,17554.279296875,17554.279296875,95530000,^DJI,Index,18063.529,1.61,18.85,0.0022294213139055774,0.002226939841688437,,0.014794180238503651,1,-0.020673600443089968,Medium,0.0,1.0,,,,,,,,,,-69180000.0
2015-01-22,17557.2890625,17840.890625,17482.5390625,17813.98046875,17813.98046875,111980000,^DJI,Index,18063.529,1.61,16.4,0.014794180238503651,0.014685813841349784,,-0.007936511417143133,0,-0.022293212910593607,Medium,0.0,1.0,,,,,,,,,,42800000.0
2015-01-23,17812.5,17812.5,17667.529296875,17672.599609375,17672.599609375,97110000,^DJI,Index,18063.529,1.6,16.66,-0.007936511417143133,-0.007968173157657157,,0.0003451449990279354,1,-0.028725281047826123,Medium,0.0,1.0,49.87441327965427,,,,,,,,,-54310000.0
2015-01-26,17668.109375,17696.359375,17567.599609375,17678.69921875,17678.69921875,87220000,^DJI,Index,18063.529,1.61,15.52,0.0003451449990279354,0.0003450854501943524,,-0.016488106825237936,0,-0.017968525416909076,Medium,0.0,1.0,50.11906236747018,,,,,,,,,32910000.0
2015-01-27,17638.529296875,17638.529296875,17288.310546875,17387.2109375,17387.2109375,135940000,^DJI,Index,18063.529,1.66,17.22,-0.016488106825237936,-0.016625548521755046,,-0.011263554435439471,0,0.01605717294904707,Medium,0.0,1.0,40.057383176239306,,,,,,,,,-103030000.0
2015-01-28,17402.91015625,17484.41015625,17189.0,17191.369140625,17191.369140625,115980000,^DJI,Index,18063.529,1.61,20.44,-0.011263554435439471,-0.011327468652078104,,0.013115911065929353,1,0.02801698844839584,Medium,0.0,1.0,34.976769298931174,,,,,,,,,-219010000.0
2015-01-29,17195.2890625,17433.130859375,17136.30078125,17416.849609375,17416.849609375,111690000,^DJI,Index,18063.529,1.62,18.76,0.013115911065929353,0.013030642280324009,,-0.014463028404942402,0,0.0268723253916181,Medium,0.0,1.0,43.812835453834325,,,,,,,,,-107320000.0
