Date,Open,High,Low,Close,Adj Close,Volume,ticker,sector,GDP,T10YIE,VIXCLS,returns,log_returns,volume_ratio,return_1d,direction_1d,return_5d,volatility_regime,gdp_growth,economic_regime,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,SMA_short,SMA_long,OBV
2015-01-29,4635.72998046875,4688.41015625,4601.759765625,4683.41015625,4683.41015625,2110710000,^IXIC,Index,18063.529,1.62,18.76,0.00979301800559318,0.009745377183870085,,-0.01028522385781594,0,0.01744240599923441,Medium,0.0,1.0,49.01294557131374,,,,,,,,,805460000.0
2015-01-30,4671.2099609375,4703.81005859375,4631.10009765625,4635.240234375,4635.240234375,2264230000,^IXIC,Index,18063.529,1.65,20.97,-0.01028522385781594,-0.010338482270577966,1.1695695889075735,0.008942299629662864,1,0.023549948319662173,Medium,0.0,1.0,44.019206853542904,,,,4778.219161678579,4673.701489257813,4569.183816837046,,,-1458770000.0
2015-02-02,4650.60009765625,4676.68994140625,4580.4599609375,4676.68994140625,4676.68994140625,2006450000,^IXIC,Index,18063.529,1.65,19.43,0.008942299629662864,0.008902554037261753,1.0213454557393638,0.010915902830496371,1,0.010545882843778998,Medium,0.0,1.0,48.8487034579929,,,,4772.864090788587,4671.195483398437,4569.526876008287,,,547680000.0
2015-02-03,4693.25,4727.740234375,4670.81982421875,4727.740234375,4727.740234375,2153520000,^IXIC,Index,18063.529,1.7,17.33,0.010915902830496371,0.010856754412825019,1.0862818031454717,-0.002335161941053543,0,0.012669880191010341,Medium,0.0,1.0,54.1007640823961,,,,4779.117714283937,4674.95400390625,4570.790293528564,,,2701200000.0
2015-02-04,4699.81005859375,4744.330078125,4697.7900390625,4716.7001953125,4716.7001953125,2212960000,^IXIC,Index,18063.529,1.71,18.33,-0.002335161941053543,-0.0023378926836781395,1.1149811739608646,0.010261390450860164,1,0.017910822602782206,Medium,0.0,1.0,52.83727768035522,,,,4779.605777704836,4681.152001953125,4582.698226201414,,,488240000.0
2015-02-05,4729.64990234375,4767.3798828125,4722.7998046875,4765.10009765625,4765.10009765625,2036590000,^IXIC,Index,18063.529,1.7,16.85,0.010261390450860164,0.010209099796191261,1.024089812202347,-0.0043441260179784,0,0.019414023573293138,Medium,0.0,1.0,57.52108623013574,,,,4790.724374373083,4686.88349609375,4583.042617814417,,,2524830000.0
2015-02-06,4768.83984375,4787.18017578125,4731.22021484375,4744.39990234375,4744.39990234375,2034060000,^IXIC,Index,18063.529,1.71,17.29,-0.0043441260179784,-0.004353589149376303,1.024656776552071,-0.003876177619358212,0,0.03149817563490509,Medium,0.0,1.0,55.005046764460175,,,,4791.97281843164,4687.293994140625,4582.61516984961,,,490770000.0
2015-02-09,4723.72998046875,4749.47021484375,4719.60986328125,4726.009765625,4726.009765625,1654680000,^IXIC,Index,18063.529,1.71,18.55,-0.003876177619358212,-0.003883709465308347,0.8348300956178837,0.013040677897456554,1,0.036661002092393424,Medium,0.0,1.0,52.795601189613606,25.613064052839945,,,4794.203746311749,4688.3909912109375,4582.578236110126,,,-1163910000.0
2015-02-10,4754.6298828125,4793.27001953125,4737.1201171875,4787.64013671875,4787.64013671875,1773730000,^IXIC,Index,18063.529,1.7,17.23,0.013040677897456554,0.012956380331452758,0.8968902145962027,0.0028281238096101724,1,0.02479712826617453,Medium,0.0,1.0,58.77233623401272,29.796991270521175,,,4808.12949443047,4694.5375,4580.945505569531,,,609820000.0
2015-02-11,4788.3701171875,4810.35986328125,4780.1298828125,4801.18017578125,4801.18017578125,1793630000,^IXIC,Index,18063.529,1.68,16.96,0.0028281238096101724,0.0028241321915579635,0.9154830730848089,0.01175329511369938,1,0.025727011903099672,Medium,0.0,1.0,59.97145219869099,33.81554714952381,,,4823.029831392643,4701.521508789063,4580.0131861854825,,,2403450000.0
2015-02-12,4828.080078125,4857.60986328125,4823.56982421875,4857.60986328125,4857.60986328125,2075470000,^IXIC,Index,18063.529,1.66,15.34,0.01175329511369938,0.011684761614296072,1.0592915837288828,0.007458396513605026,1,0.020248713735948165,Medium,0.0,1.0,64.5934382113421,41.080139537353716,,,4848.0334739165955,4712.436010742187,4576.838547567779,,,4478920000.0
2015-02-13,4869.72998046875,4893.83984375,4860.1201171875,4893.83984375,4893.83984375,1942240000,^IXIC,Index,18063.529,1.68,14.69,0.007458396513605026,0.007430720203066958,0.992154164361547,0.0011095940927010606,1,0.013717320802699273,Low,0.0,1.0,67.21119625452907,49.193762903817515,,,4869.70290011567,4728.58701171875,4587.4711233218295,,,6421160000.0
2015-02-17,4889.990234375,4901.89013671875,4880.64013671875,4899.27001953125,4899.27001953125,1751490000,^IXIC,Index,18063.529,1.71,15.8,0.0011095940927010606,0.0011089789481742197,0.8997468725077344,0.001447122473702489,1,0.014053133912149018,Medium,0.0,1.0,67.59787448159113,55.4231540606188,,,4894.35550786973,4741.831518554687,4589.307529239644,,,8172650000.0
2015-02-18,4890.83984375,4907.5,4885.60009765625,4906.35986328125,4906.35986328125,1684800000,^IXIC,Index,18063.529,1.71,15.45,0.001447122473702489,0.0014460764010507617,0.8688407798217298,0.0037380731422713698,1,0.012388058587462059,Medium,0.0,1.0,68.1263961244298,60.23769986369007,,,4917.292725737007,4754.407006835938,4591.521287934869,,,9857450000.0
2015-02-19,4901.509765625,4929.52978515625,4900.6298828125,4924.7001953125,4924.7001953125,1592890000,^IXIC,Index,18063.529,1.74,15.29,0.0037380731422713698,0.0037311039091323227,0.8268700987173544,0.006349629072042617,1,0.012831226044256683,Medium,0.0,1.0,69.51179962119132,64.78635682455842,,,4940.927087056664,4767.271020507813,4593.614953958961,,,11450340000.0
2015-02-20,4919.77978515625,4957.02001953125,4905.58984375,4955.97021484375,4955.97021484375,1761140000,^IXIC,Index,18063.529,1.75,14.3,0.006349629072042617,0.006329555107374547,0.9198289912168799,0.001008884190834003,1,0.0015253461955557768,Low,0.0,1.0,71.76518608129263,70.10628783257926,47.78366705505586,22.322620777523397,4969.378595918838,4777.549536132812,4585.720476346786,,,13211480000.0
2015-02-23,4953.10009765625,4960.97021484375,4939.56005859375,4960.97021484375,4960.97021484375,1754850000,^IXIC,Index,18063.529,1.72,14.56,0.001008884190834003,0.0010083756092166378,0.9141322073179022,0.001441230653301817,1,0.009500134201871013,Low,0.0,1.0,72.12001818954758,73.87425329091366,53.00178430222742,20.872468988686236,4995.158099145026,4787.704052734375,4580.250006323724,,,14966330000.0
2015-02-24,4956.2099609375,4971.18017578125,4945.14013671875,4968.1201171875,4968.1201171875,1834890000,^IXIC,Index,18063.529,1.72,13.69,0.001441230653301817,0.0014401930772084813,0.952913141823528,-0.00019725377922319431,0,0.00237107494955624,Low,0.0,1.0,72.64934094743496,76.55485372824569,57.71239818743108,18.842455540814612,5019.131534685664,4797.5220703125,4575.912605939336,,,16801220000.0
2015-02-25,4960.35986328125,4984.240234375,4956.0,4967.14013671875,4967.14013671875,1848560000,^IXIC,Index,18063.529,1.72,13.84,-0.00019725377922319431,-0.00019727323630860106,0.9626520319839024,0.004177454114211443,1,0.0,Low,0.0,1.0,72.4463174110402,77.7044441904336,61.71080738803159,15.993636802402015,5038.424211631393,4811.8040771484375,4585.183942665482,,,14952660000.0
2015-02-26,4969.27001953125,4989.10986328125,4955.509765625,4987.89013671875,4987.89013671875,1905550000,^IXIC,Index,18063.529,1.79,13.91,0.004177454114211443,0.0041687527773130945,0.997867640821063,-0.004883898982291024,0,-0.0010184823614302063,Low,0.0,1.0,74.09695200905642,79.37487040222913,65.2436199908711,14.131250411358039,5053.556503856056,4829.299072265625,4605.041640675194,,,16858210000.0
2015-02-27,4985.02978515625,4989.25,4960.8701171875,4963.52978515625,4963.52978515625,1955590000,^IXIC,Index,18063.529,1.83,13.34,-0.004883898982291024,-0.004895864190735505,1.0282480469181319,0.008979559794985104,1,-0.0072850712162315645,Low,0.0,1.0,68.88002542117708,77.83577605147366,67.76205120299161,10.073724848482044,5064.333529821897,4843.3050537109375,4622.276577599978,,,14902620000.0
2015-03-02,4973.43017578125,5008.56982421875,4972.009765625,5008.10009765625,5008.10009765625,1931110000,^IXIC,Index,18063.529,1.83,13.04,0.008979559794985104,0.008939483282219829,1.024347420181306,-0.005630916867196301,0,-0.01311079151168093,Low,0.0,1.0,72.67126110981337,79.29838203248892,70.06931736889108,9.229064663597839,5072.27310474543,4861.948046875,4651.62298900457,,,16833730000.0
2015-03-03,4990.7001953125,4996.66015625,4956.06982421875,4979.89990234375,4979.89990234375,2018900000,^IXIC,Index,18063.529,1.86,13.86,-0.005630916867196301,-0.005646830245635757,1.0705616750162064,-0.002562253433848083,0,-0.024118931230870944,Low,0.0,1.0,67.10116449756191,77.291024903996,71.51365887591206,5.7773660280839465,5075.188534010659,4877.108544921875,4679.028555833092,,,14814830000.0
2015-03-04,4961.240234375,4973.31982421875,4938.89990234375,4967.14013671875,4967.14013671875,1824830000,^IXIC,Index,18063.529,1.87,14.23,-0.002562253433848083,-0.002565541623161566,0.9761591699573874,0.003154717089450143,1,-0.023595105450340936,Low,0.0,1.0,64.68525538114463,73.81962676310832,71.97485245335132,1.8447743097569997,5078.344273890071,4889.078540039062,4699.812806188053,,,12990000000.0
2015-03-05,4979.9501953125,4993.52001953125,4963.10009765625,4982.81005859375,4982.81005859375,1724200000,^IXIC,Index,18063.529,1.84,14.04,0.003154717089450143,0.0031497514102939135,0.9345460064174833,-0.011126240164550105,0,-0.017965770013018356,Low,0.0,1.0,66.29039571310221,71.50864333491427,71.88161062966391,-0.3729672947496425,5078.246576641985,4902.384033203125,4726.521489764265,,,14714200000.0
2015-03-06,4967.240234375,4982.93017578125,4918.6298828125,4927.3701171875,4927.3701171875,1918220000,^IXIC,Index,18063.529,1.83,15.2,-0.011126240164550105,-0.011188599757960254,1.0430542214517726,0.0030583909591415104,1,-0.011286010638519306,Medium,0.0,1.0,56.50488402612011,64.46057104013289,70.3974027117577,-5.936831671624816,5074.87455106199,4910.497534179687,4746.120517297384,,,12795980000.0
2015-03-09,4936.080078125,4950.47021484375,4920.81982421875,4942.43994140625,4942.43994140625,1696510000,^IXIC,Index,18063.529,1.76,15.06,0.0030583909591415104,0.003053723595505734,0.931041333271868,-0.016722489969242638,0,-0.0026161523325605174,Medium,0.0,1.0,58.30653644878603,59.40613489454881,68.19914914831593,-8.793014253767112,5066.392631599654,4920.3995361328125,4774.406440665971,,,14492490000.0
2015-03-10,4899.509765625,4903.43994140625,4859.7900390625,4859.7900390625,4859.7900390625,1876010000,^IXIC,Index,18063.529,1.73,16.69,-0.016722489969242638,-0.01686388938807478,1.0233355816412613,-0.002026856629005813,0,0.01597602696715006,Medium,0.0,1.0,46.84564113573317,48.175958982186785,64.1945111150901,-16.01855213290331,5046.72231577311,4927.088549804687,4807.454783836265,,,12616480000.0
2015-03-11,4866.93994140625,4876.08984375,4846.7900390625,4849.93994140625,4849.93994140625,1846020000,^IXIC,Index,18063.529,1.72,16.87,-0.002026856629005813,-0.002028913482671355,1.004994977801611,0.008938275149790842,1,0.02740036749408037,Medium,0.0,1.0,45.69289713279718,38.042611557105374,58.96413120349315,-20.92151964638778,5037.789017108563,4930.203540039062,4822.618062969562,,,10770460000.0
2015-03-12,4853.97998046875,4895.7998046875,4853.2001953125,4893.2900390625,4893.2900390625,1855110000,^IXIC,Index,18063.529,1.71,15.42,0.008938275149790842,0.008898565218575129,1.0082563417193908,-0.004399958568902851,0,0.02025014723406504,Medium,0.0,1.0,51.365031971556384,33.127972657531245,53.796899494300774,-20.66892683676953,5026.639900634091,4934.809033203125,4842.97816577216,,,12625570000.0
2015-03-13,4885.5400390625,4904.47021484375,4842.7998046875,4871.759765625,4871.759765625,1851410000,^IXIC,Index,18063.529,1.69,16.0,-0.004399958568902851,-0.004409666874501351,1.0124098001001796,0.011854032788620295,1,0.031746260836028384,Medium,0.0,1.0,48.6473819186609,27.18243065108436,48.47400572565749,-21.29157507457313,5025.149143348897,4935.516528320312,4845.883913291727,,,10774160000.0
2015-03-16,4897.27001953125,4929.93994140625,4889.08984375,4929.509765625,4929.509765625,1713480000,^IXIC,Index,18063.529,1.65,15.61,0.011854032788620295,0.011784324087326405,0.9428827069936465,0.0016067338402454556,1,0.016525060927315538,Medium,0.0,1.0,55.455229475272,26.82130878676162,44.14346633787832,-17.322157551116703,5024.941962296891,4937.300024414062,4849.6580865312335,4798.33880859375,,12487640000.0
2015-03-17,4912.64990234375,4944.91015625,4907.02001953125,4937.43017578125,4937.43017578125,1724370000,^IXIC,Index,18063.529,1.64,15.66,0.0016067338402454556,0.0016054444244093604,0.9495837376274973,0.00919504696318385,1,0.01160518785026321,Medium,0.0,1.0,56.31069543119159,26.86455020140238,40.68768311058314,-13.823132909180757,5025.099210086723,4939.208032226563,4853.316854366402,4802.5512109375,,14212010000.0
2015-03-18,4926.830078125,5001.56982421875,4907.72021484375,4982.830078125,4982.830078125,1983570000,^IXIC,Index,18063.529,1.7,13.97,0.00919504696318385,0.00915302988844116,1.0834085939371132,0.001916542313859848,1,-0.021335276725662267,Low,0.0,1.0,60.94109052002706,30.213924713783854,38.59293143122328,-8.379006717439424,5029.539309288799,4943.03154296875,4856.523776648701,4809.156416015625,,16195580000.0
2015-03-19,4982.02001953125,5000.02001953125,4979.93994140625,4992.3798828125,4992.3798828125,1674970000,^IXIC,Index,18063.529,1.79,14.07,0.001916542313859848,0.0019147080898441514,0.9128078499611301,0.0068183992127064386,1,-0.025843389838067665,Low,0.0,1.0,61.85685474392584,33.255568085007326,37.52545876198009,-4.269890676972764,5035.058814175699,4946.41552734375,4857.772240511801,4817.149208984375,,17870550000.0
2015-03-20,5033.47021484375,5042.14013671875,5020.06982421875,5026.419921875,5026.419921875,2825670000,^IXIC,Index,18063.529,1.76,13.02,0.0068183992127064386,0.0067952590551324165,1.4964958523793408,-0.0030737000233531653,0,-0.026897813778522628,Low,0.0,1.0,65.00629736181868,37.97508588699202,37.61538418698248,0.3597017000095377,5045.173945548313,4949.938012695313,4854.702079842313,4824.668203125,,20696220000.0
